 51 2152.941927 2.421E-23 0.000E+00.04560.064 2314.67390.72-.001545              2              1                    R  9      475663 510 5 5 1 8E    0.0    0.0
 51 2154.595583 2.646E-19 0.000E+00.06090.077   11.53500.72-.001381              1              0                    R  2      475663 510 5 5 1 1E    0.0    0.0
 51 2156.358842 2.217E-23 0.000E+00.04510.063 2352.74990.72-.001595              2              1                    R 10      475663 510 5 5 1 8E    0.0    0.0
 51 2158.299712 3.342E-19 0.000E+00.05690.074   23.06950.71-.001384              1              0                    R  3      475663 510 5 5 1 1E    0.0    0.0
 51 2159.739140 1.977E-23 0.000E+00.04460.062 2394.62790.72-.001652              2              1                    R 11      475663 510 5 5 1 8E    0.0    0.0
 51 2161.968247 3.884E-19 0.000E+00.05350.071   38.44810.71-.001395              1              0                    R  4      475663 510 5 5 1 1E    0.0    0.0
 51 2163.082673 1.718E-23 0.000E+00.04420.060 2440.30620.72-.001715              2              1                    R 12      475663 510 5 5 1 8E    0.0    0.0
 51 2165.601042 4.253E-19 0.000E+00.05070.069   57.67040.71-.001412              1              0                    R  5      475663 510 5 5 1 1E    0.0    0.0
 51 2166.389295 1.457E-23 0.000E+00.04360.059 2489.78310.72-.001785              2              1                    R 13      475663 510 5 5 1 8E    0.0    0.0
 51 2169.197950 4.444E-19 0.000E+00.04860.068   80.73540.71-.001435              1              0                    R  6      475663 510 5 5 1 1E    0.0    0.0
 51 2169.658860 1.207E-23 0.000E+00.04300.059 2543.05670.71-.001861              2              1                    R 14      475663 510 5 5 1 8E    0.0    0.0
 51 2172.758825 4.465E-19 0.000E+00.04720.066  107.64240.71-.001465              1              0                    R  7      475663 510 5 5 1 1E    0.0    0.0
 51 2172.891222 9.778E-24 0.000E+00.04240.058 2600.12490.71-.001944              2              1                    R 15      475663 510 5 5 1 8E    0.0    0.0
 51 2176.086233 7.743E-24 0.000E+00.04180.057 2660.98550.71-.002033              2              1                    R 16      475663 510 5 5 1 8E    0.0    0.0
 51 2176.283519 4.335E-19 0.000E+00.04620.065  138.39040.71-.001502              1              0                    R  8      475663 510 5 5 1 1E    0.0    0.0
 51 2179.243748 5.999E-24 0.000E+00.04110.056 2725.63610.70-.002129              2              1                    R 17      475663 510 5 5 1 8E    0.0    0.0
 51 2179.771887 4.079E-19 0.000E+00.04560.064  172.97800.72-.001545              1              0                    R  9      475663 510 5 5 1 1E    0.0    0.0
 51 2182.363620 4.548E-24 0.000E+00.04040.055 2794.07430.69-.002232              2              1                    R 18      475663 510 5 5 1 8E    0.0    0.0
 51 2183.223781 3.729E-19 0.000E+00.04510.063  211.40410.72-.001595              1              0                    R 10      475663 510 5 5 1 1E    0.0    0.0
 51 2185.445703 3.376E-24 0.000E+00.03970.054 2866.29750.69-.002290              2              1                    R 19      475663 510 5 5 1 8E    0.0    0.0
 51 2186.639055 3.319E-19 0.000E+00.04460.062  253.66720.72-.001652              1              0                    R 11      475663 510 5 5 1 1E    0.0    0.0
 51 2188.489851 2.454E-24 0.000E+00.03900.053 2942.30280.68-.002353              2              1                    R 20      475623 510 5 5 1 8E    0.0    0.0
 51 2190.017563 2.879E-19 0.000E+00.04420.060  299.76560.72-.001715              1              0                    R 12      475663 510 5 5 1 1E    0.0    0.0
 51 2191.495919 1.747E-24 0.000E+00.03830.053 3022.08730.67-.002416              2              1                    R 21      475623 510 5 5 1 8E    0.0    0.0
 51 2193.359157 2.437E-19 0.000E+00.04360.059  349.69750.72-.001785              1              0                    R 13      475663 510 5 5 1 1E    0.0    0.0
 51 2194.463759 1.219E-24 0.000E+00.03770.052 3105.64790.66-.002479              2              1                    R 22      475623 510 5 5 1 8E    0.0    0.0
 51 2196.663693 2.015E-19 0.000E+00.04300.059  403.46120.71-.001861              1              0                    R 14      475663 510 5 5 1 1E    0.0    0.0
 51 2197.393227 8.338E-25 0.000E+00.03700.051 3192.98150.66-.002540              2              1                    R 23      475623 510 5 5 1 8E    0.0    0.0
 51 2199.931023 1.627E-19 0.000E+00.04240.058  461.05440.71-.001944              1              0                    R 15      475663 510 5 5 1 1E    0.0    0.0
 51 2200.284176 5.587E-25 0.000E+00.03630.051 3284.08460.65-.002601              2              1                    R 24      475623 510 5 5 1 8E    0.0    0.0
 51 2203.136460 3.670E-25 0.000E+00.03570.050 3378.95370.64-.002661              2              1                    R 25      475623 510 5 5 1 8E    0.0    0.0
 51 2203.161001 1.285E-19 0.000E+00.04180.057  522.47510.71-.002033              1              0                    R 16      475663 510 5 5 1 1E    0.0    0.0
 51 2205.949934 2.364E-25 0.000E+00.03500.049 3477.58510.63-.002719              2              1                    R 26      475623 510 5 5 1 8E    0.0    0.0
 51 2206.353482 9.927E-20 0.000E+00.04110.056  587.72090.70-.002129              1              0                    R 17      475663 510 5 5 1 1E    0.0    0.0
 51 2208.724452 1.493E-25 0.000E+00.03440.049 3579.97510.62-.002777              2              1                    R 27      475623 510 5 5 1 8E    0.0    0.0
 51 2209.508319 7.504E-20 0.000E+00.04040.055  656.78920.69-.002232              1              0                    R 18      475663 510 5 5 1 1E    0.0    0.0
 51 2211.459869 9.246E-26 0.000E+00.03380.048 3686.11980.61-.002833              2              1                    R 28      475623 510 5 5 1 8E    0.0    0.0
 51 2212.625365 5.553E-20 0.000E+00.03970.054  729.67740.69-.002290              1              0                    R 19      475663 510 5 5 1 1E    0.0    0.0
 51 2214.156039 5.616E-26 0.000E+00.03330.047 3796.01490.60-.002887              2              1                    R 29      475623 510 5 5 1 8E    0.0    0.0
 51 2215.704476 4.023E-20 0.000E+00.03900.053  806.38280.68-.002353              1              0                    R 20      475623 510 5 5 1 1E    0.0    0.0
 51 2216.812816 3.346E-26 0.000E+00.03270.047 3909.65620.59-.002941              2              1                    R 30      475623 510 5 5 1 8E    0.0    0.0
 51 2218.745505 2.855E-20 0.000E+00.03830.053  886.90240.67-.002416              1              0                    R 21      475623 510 5 5 1 1E    0.0    0.0
 51 2219.430056 1.955E-26 0.000E+00.03210.046 4027.03950.58-.002993              2              1                    R 31      475623 510 5 5 1 8E    0.0    0.0
